,C_ETH,A_ETH,D_ETH
2020-03-16 00:00:00,0.020984680368982295,0.0032377770976280526,0.007580887685743337
2020-03-17 00:00:00,0.021026699978710355,0.003797492430936442,0.008144041714527156
2020-03-18 00:00:00,0.02107459715766469,0.004068709121751143,0.011767028114990172
2020-03-19 00:00:00,0.021135090369243922,0.002902908025890911,0.011474725254822224
2020-03-20 00:00:00,0.021213887812876985,0.002748244637718255,0.010706953252388941
2020-03-21 00:00:00,0.021191081556019776,0.0027005167169366147,0.011294879004185947
2020-03-22 00:00:00,0.02114045283623264,0.0027130186015699737,0.01213412410964113
2020-03-23 00:00:00,0.021069659777322947,0.0027162193501319215,0.012412408027416928
2020-03-24 00:00:00,0.020994045895689515,0.002474207717730239,0.011797846595747894
2020-03-25 00:00:00,0.021111642162450338,0.0020442435363627457,0.011226296998976397
2020-03-26 00:00:00,0.020836790333731377,0.0025676136869913404,0.010956220432826382
2020-03-27 00:00:00,0.0208717421459481,0.002940606126997246,0.01182373592389358
2020-03-28 00:00:00,0.02088452705383187,0.0036745072228777597,0.017730013018970293
2020-03-29 00:00:00,0.020880661013178557,0.00393723827163056,0.0196537999701734
2020-03-30 00:00:00,0.02086964414383526,0.003993780760602413,0.017266405885199582
2020-03-31 00:00:00,0.020883357180096325,0.003957894271057377,0.016889965819918532
2020-04-01 00:00:00,0.020866675551363085,0.004333164667046759,0.017648169561541024
2020-04-02 00:00:00,0.02088319913971817,0.004679402469565883,0.018535009068223113
2020-04-03 00:00:00,0.02073349418703191,0.004841423858763599,0.019815298888321564
2020-04-04 00:00:00,0.02064286221623757,0.004864683149088884,0.01831163636070495
2020-04-05 00:00:00,0.020629780155884583,0.0048842762052633375,0.017444423518604226
2020-04-06 00:00:00,0.020627359676654237,0.00487825816943725,0.013272429459461667
2020-04-07 00:00:00,0.02062877349304687,0.004525602143247423,0.021281043481896616
2020-04-08 00:00:00,0.020625937954447494,0.004143482687260218,0.023772501176042505
2020-04-09 00:00:00,0.020626167668207976,0.0039201623229224965,0.024070113587765687
2020-04-10 00:00:00,0.0207254481071388,0.004050022488184267,0.023730673108191568
2020-04-11 00:00:00,0.020723532436850906,0.003684687934696671,0.02304018861157488
2020-04-12 00:00:00,0.020727911327296043,0.0036885281944277495,0.02230624766457969
2020-04-13 00:00:00,0.02074561062953,0.0036994874794899616,0.021965409283565978
2020-04-14 00:00:00,0.020770253459559955,0.0037210713198821536,0.022226917794941403
2020-04-15 00:00:00,0.020761713826276885,0.004232516512914719,0.022314125807115767
2020-04-16 00:00:00,0.020863255386201412,0.004351503818580965,0.02361053496202749
2020-04-17 00:00:00,0.021073856305344578,0.004579109204947546,0.020839653614335357
2020-04-18 00:00:00,0.020937999496864267,0.00462802839926653,0.021520325424503373
2020-04-19 00:00:00,0.021202329933055,0.008239298206117329,0.024110102241446798
2020-04-20 00:00:00,0.0211896551569673,0.005145757989334855,0.026272882059956194
2020-04-21 00:00:00,0.02110175948063838,0.005332600101786649,0.020039821418829543
2020-04-22 00:00:00,0.021027965614187023,0.005185304446466617,0.02015958039511205
2020-04-23 00:00:00,0.020918070535632906,0.005536918118719268,0.01888530605479435
2020-04-24 00:00:00,0.020917704488665236,0.006377025859573281,0.016043706853918368
2020-04-25 00:00:00,0.020915178369606338,0.005333107626199942,0.015132941399274324
2020-04-26 00:00:00,0.020908269979782373,0.005212964955248592,0.015732937689659766
2020-04-27 00:00:00,0.02089092575926773,0.005531882297072205,0.018581065456243974
2020-04-28 00:00:00,0.020834578025449094,0.005324188811676259,0.018681794558157126
2020-04-29 00:00:00,0.020738413791217884,0.0056213017226306086,0.018011483831607698
2020-04-30 00:00:00,0.020719117535087633,0.006037410983153064,0.017475548669731247
2020-05-01 00:00:00,0.020711792751888454,0.0059966781959442895,0.018733708837393136
2020-05-02 00:00:00,0.020713740853681252,0.0055923906959473154,0.02147776944879398
2020-05-03 00:00:00,0.02070705521777661,0.006036135027585571,0.022110767149747548
2020-05-04 00:00:00,0.020714414302822167,0.00597100120360223,0.01859391860183913
2020-05-05 00:00:00,0.020702451951150787,0.00579366274202918,0.017271901923320315
2020-05-06 00:00:00,0.020706856644967304,0.005368892708070684,0.01717104669913973
2020-05-07 00:00:00,0.020697029971104265,0.005430606472667399,0.015543474781673344
2020-05-08 00:00:00,0.020701631803116582,0.0055517648288777545,0.012665891889537801
